Indicator,Year,Value,Unit,Confidence,RawText,DisplayValue,Source,Method,CanonicalIndicator,Category,Canonical Name,Indicator Name,FileRef,page_content,SourceURL
Gross Fixed Capital Formation,2019,2020.0,,85,"Table 2 Selected macroeconomic and financial sector performance and  forecast    2019  2020  2021f  2022f  2023f  Real GDP (% growth)  1.0  -8.6  3.0  3.3  2.5  Consumer prices (period average, % growth)  6.7  5.6  5.7  6.5  5.5  Total investment (% of GDP)  17.8  10.8  13.1  16.0  16.9  Government revenue and grants, (% of GDP)  27.7  27.6  28.1  28.0  28.4  Government expenditure, (% of GDP)  31.6  37.4  36.4  35.7  35.5  Overall fiscal balance (incl.","2,020",giz,Alias,Gross Fixed Capital Formation,Investment,Gross Fixed Capital Formation,Gross Fixed Capital Formation,,,
Merchandise Imports (current Usd),2011,104.0,%,100,"On average from 2011 to  2019, total trade (i.e., exports + imports) of goods and services was equivalent to  104% of GDP (Figure 1).",104 %,giz,Alias,Merchandise Imports (current Usd),Trade,Merchandise Imports (current Usd),Merchandise Imports (current Usd),,,
Merchandise Exports (current Usd),2019,2019.3,,85,"Tunisia has been a net importer of goods and services in  the past decade, reaching $24.6 billion worth of imports and $19.1 billion worth of  exports in 2019.3 As both exports and imports declined by the same magnitude  (15%) during the pandemic, the trade in goods and services deficit narrowed from  $5.5 billion (14.2% of GDP) to $4.6 billion (11.8% of GDP) in 2020.","2,019",giz,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Merchandise Imports (current Usd),2019,15.0,%,100,"Tunisia has been a net importer of goods and services in  the past decade, reaching $24.6 billion worth of imports and $19.1 billion worth of  exports in 2019.3 As both exports and imports declined by the same magnitude  (15%) during the pandemic, the trade in goods and services deficit narrowed from  $5.5 billion (14.2% of GDP) to $4.6 billion (11.8% of GDP) in 2020.",15.0 %,giz,Alias,Merchandise Imports (current Usd),Trade,Merchandise Imports (current Usd),Merchandise Imports (current Usd),,,
Merchandise Imports (current Usd),2019,14.2,%,100,"Tunisia has been a net importer of goods and services in  the past decade, reaching $24.6 billion worth of imports and $19.1 billion worth of  exports in 2019.3 As both exports and imports declined by the same magnitude  (15%) during the pandemic, the trade in goods and services deficit narrowed from  $5.5 billion (14.2% of GDP) to $4.6 billion (11.8% of GDP) in 2020.",14.2 %,giz,Alias,Merchandise Imports (current Usd),Trade,Merchandise Imports (current Usd),Merchandise Imports (current Usd),,,
Merchandise Exports (current Usd),2019,11.8,%,100,"Tunisia has been a net importer of goods and services in  the past decade, reaching $24.6 billion worth of imports and $19.1 billion worth of  exports in 2019.3 As both exports and imports declined by the same magnitude  (15%) during the pandemic, the trade in goods and services deficit narrowed from  $5.5 billion (14.2% of GDP) to $4.6 billion (11.8% of GDP) in 2020.",11.8 %,giz,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Merchandise Exports (current Usd),2019,2020.0,,85,"Tunisia has been a net importer of goods and services in  the past decade, reaching $24.6 billion worth of imports and $19.1 billion worth of  exports in 2019.3 As both exports and imports declined by the same magnitude  (15%) during the pandemic, the trade in goods and services deficit narrowed from  $5.5 billion (14.2% of GDP) to $4.6 billion (11.8% of GDP) in 2020.","2,020",giz,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Merchandise Exports (current Usd),2015,26.9,%,100,"Tunisia has a diverse set of exports, mostly different products under major  categories of electrical machinery and equipment (26.9%), clothing (15.5%), mineral  fuel and oil products (6%), and animal or vegetable oil and fats (4.9%), from 2015 to  2019.4 Meanwhile, Tunisia’s top imports are mineral fuel and oil products (14%),  electrical machinery and equipment (13.9%), nuclear reactors, boilers, machinery  and mechanical appliances and parts (9.5%), vehicles other than railway or tram  (7.1%) and plastics (5.9%).5 France, Italy and Germany are Tunisia’s major trading  partners – for both exports and imports (Figure 2).",26.9 %,giz,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Merchandise Imports (current Usd),2015,15.5,%,100,"Tunisia has a diverse set of exports, mostly different products under major  categories of electrical machinery and equipment (26.9%), clothing (15.5%), mineral  fuel and oil products (6%), and animal or vegetable oil and fats (4.9%), from 2015 to  2019.4 Meanwhile, Tunisia’s top imports are mineral fuel and oil products (14%),  electrical machinery and equipment (13.9%), nuclear reactors, boilers, machinery  and mechanical appliances and parts (9.5%), vehicles other than railway or tram  (7.1%) and plastics (5.9%).5 France, Italy and Germany are Tunisia’s major trading  partners – for both exports and imports (Figure 2).",15.5 %,giz,Alias,Merchandise Imports (current Usd),Trade,Merchandise Imports (current Usd),Merchandise Imports (current Usd),,,
Merchandise Imports (current Usd),2015,6.0,%,100,"Tunisia has a diverse set of exports, mostly different products under major  categories of electrical machinery and equipment (26.9%), clothing (15.5%), mineral  fuel and oil products (6%), and animal or vegetable oil and fats (4.9%), from 2015 to  2019.4 Meanwhile, Tunisia’s top imports are mineral fuel and oil products (14%),  electrical machinery and equipment (13.9%), nuclear reactors, boilers, machinery  and mechanical appliances and parts (9.5%), vehicles other than railway or tram  (7.1%) and plastics (5.9%).5 France, Italy and Germany are Tunisia’s major trading  partners – for both exports and imports (Figure 2).",6.0 %,giz,Alias,Merchandise Imports (current Usd),Trade,Merchandise Imports (current Usd),Merchandise Imports (current Usd),,,
Merchandise Exports (current Usd),2015,4.9,%,100,"Tunisia has a diverse set of exports, mostly different products under major  categories of electrical machinery and equipment (26.9%), clothing (15.5%), mineral  fuel and oil products (6%), and animal or vegetable oil and fats (4.9%), from 2015 to  2019.4 Meanwhile, Tunisia’s top imports are mineral fuel and oil products (14%),  electrical machinery and equipment (13.9%), nuclear reactors, boilers, machinery  and mechanical appliances and parts (9.5%), vehicles other than railway or tram  (7.1%) and plastics (5.9%).5 France, Italy and Germany are Tunisia’s major trading  partners – for both exports and imports (Figure 2).",4.9 %,giz,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Merchandise Imports (current Usd),2015,14.0,%,100,"Tunisia has a diverse set of exports, mostly different products under major  categories of electrical machinery and equipment (26.9%), clothing (15.5%), mineral  fuel and oil products (6%), and animal or vegetable oil and fats (4.9%), from 2015 to  2019.4 Meanwhile, Tunisia’s top imports are mineral fuel and oil products (14%),  electrical machinery and equipment (13.9%), nuclear reactors, boilers, machinery  and mechanical appliances and parts (9.5%), vehicles other than railway or tram  (7.1%) and plastics (5.9%).5 France, Italy and Germany are Tunisia’s major trading  partners – for both exports and imports (Figure 2).",14.0 %,giz,Alias,Merchandise Imports (current Usd),Trade,Merchandise Imports (current Usd),Merchandise Imports (current Usd),,,
Merchandise Imports (current Usd),2020,2019.0,,85,"Rep. South Africa Nigeria Malawi Goods (2020, % of GDP) Services (2020, % of GDP) 0 10 20 30 40 50 60 70 80 90 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 91.2 92.1 89.4 87.3 79.4 79.0 87.6 96.1 94.0 81.9 17.0 18.4 17.6 17.1 14.8 15.0 15.9 17.8 18.6 11.8 0 20 40 60 80 100 120 ODI Policy brief          6  Figure 2 Exports and imports of goods with Tunisia’s major trading partners  (US$ million, 2019)","2,019",giz,Alias,Merchandise Imports (current Usd),Trade,Merchandise Imports (current Usd),Merchandise Imports (current Usd),,,
Gross Fixed Capital Formation,2019,18.5,%,100,"FDI flows  declined by 18.5% to $845 million in  2019, driven by the sharp contraction  of investment towards the services  sector (UNCTAD, 2020).",18.5 %,giz,Alias,Gross Fixed Capital Formation,Investment,Gross Fixed Capital Formation,Gross Fixed Capital Formation,,,
Merchandise Imports (current Usd),2015,2016.0,,85,Exports Imports % share US$ millions 0.0 0.5 1.0 1.5 2.0 2.5 2015 2016 2017 2018 2019 2015 2016 2017 2018 2019 0 2 4 6 8 10 12 Africa’s % share of Tunisia’s exports Africa’s % share of Tunisia’s imports Africa’s % share of Tunisia’s total trade 1.7 1.6 1.4 1.6 1.5 1.2 1.1 1.3 1.6 2.1 11.8 11.8 9.9 10.1 10.3 6.0 5.8 6.5 7.1 9.9 8.4 8.3 7.9 8.3 10.1 ODI Policy brief          10  Tunisia has diverse export products to African countries.,"2,016",giz,Alias,Merchandise Imports (current Usd),Trade,Merchandise Imports (current Usd),Merchandise Imports (current Usd),,,
Merchandise Exports (current Usd),2015,4.0,%,100,"From 2015 to 2019, top  exports are dates (4%), sanitary towels (3.8%), Portland cement (2.4%), parts of  boring or sinking machinery (2%), and iron or steel structures and parts (1.9%).",4.0 %,giz,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Merchandise Exports (current Usd),2017,2018.0,,85,"Following Bems & Johnson  (2017) and to account for the elasticity of exports to the real exchange rate when fragmentation of  production is important, Bang & Park (2018) examine the case of total output demand and the  case of intermediate input demand.","2,018",global-value-chain-participation-and-real-effective-exchange-rates-insights-from-tunisia.pdf,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Merchandise Exports (current Usd),2017,22.0,%,100,Ahmed et al. (2017) find that integration in GVCs decreases the  REER elasticity of manufacturing exports by 22 percent.,22.0 %,global-value-chain-participation-and-real-effective-exchange-rates-insights-from-tunisia.pdf,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Inflation,2023,9.3,%,100,"In 2023, inflation rose to  approximately 9.3%, increasing living costs and eroding household purchasing power.1​",9.3 %,imf-programs-in-tunisia,Alias,Inflation,Prices,Inflation,Inflation,,,
Inflation,2023,1.0,,70,"In 2023, inflation rose to  approximately 9.3%, increasing living costs and eroding household purchasing power.1​",1,imf-programs-in-tunisia,Alias,Inflation,Prices,Inflation,Inflation,,,
Inflation,2020,8.0,%,100,"3  https://ar.tradingeconomics.com/tunisia/gdp-growth#:~:text=%D9%85%D8%B9%D8%AF%D9%84%20% D9%86%D9%85%D9%88%20%D8%A7%D9%84%D9%86%D8%A7%D8%AA%D8%AC%20%D8%A7% D9%84%D9%85%D8%AD%D9%84%D9%8A%20%D8%A7%D9%84%D8%A5%D8%AC%D9%85%D8% A7%D9%84%D9%8A%20%D9%81%D9%8A%20%D8%AA%D9%88%D9%86%D8%B3%20%D8%A8% D9%84%D8%BA,2020.%20%D9%85%D8%B5%D8%AF%D8%B1%3A%20National%20Institute%20of% 20Statistics%20-%20Tunisia   2 https://shorturl.at/zzvPT   1 https://www.donneesmondiales.com/afrique/tunisie/inflation.php#google_vignette   8 globally in the Ease of Doing Business Index, reflecting persistent bureaucratic obstacles that  hinder investment and burden businesses.5  ●​ Social Resistance: The reforms faced strong opposition from various social groups.",8.0 %,imf-programs-in-tunisia,Alias,Inflation,Prices,Inflation,Inflation,,,
Gross Domestic Product (gdp) At Market Prices,2020,9.0,%,100,"3  https://ar.tradingeconomics.com/tunisia/gdp-growth#:~:text=%D9%85%D8%B9%D8%AF%D9%84%20% D9%86%D9%85%D9%88%20%D8%A7%D9%84%D9%86%D8%A7%D8%AA%D8%AC%20%D8%A7% D9%84%D9%85%D8%AD%D9%84%D9%8A%20%D8%A7%D9%84%D8%A5%D8%AC%D9%85%D8% A7%D9%84%D9%8A%20%D9%81%D9%8A%20%D8%AA%D9%88%D9%86%D8%B3%20%D8%A8% D9%84%D8%BA,2020.%20%D9%85%D8%B5%D8%AF%D8%B1%3A%20National%20Institute%20of% 20Statistics%20-%20Tunisia   2 https://shorturl.at/zzvPT   1 https://www.donneesmondiales.com/afrique/tunisie/inflation.php#google_vignette   8 globally in the Ease of Doing Business Index, reflecting persistent bureaucratic obstacles that  hinder investment and burden businesses.5  ●​ Social Resistance: The reforms faced strong opposition from various social groups.",9.0 %,imf-programs-in-tunisia,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Fixed Capital Formation,2020,85.0,%,100,"3  https://ar.tradingeconomics.com/tunisia/gdp-growth#:~:text=%D9%85%D8%B9%D8%AF%D9%84%20% D9%86%D9%85%D9%88%20%D8%A7%D9%84%D9%86%D8%A7%D8%AA%D8%AC%20%D8%A7% D9%84%D9%85%D8%AD%D9%84%D9%8A%20%D8%A7%D9%84%D8%A5%D8%AC%D9%85%D8% A7%D9%84%D9%8A%20%D9%81%D9%8A%20%D8%AA%D9%88%D9%86%D8%B3%20%D8%A8% D9%84%D8%BA,2020.%20%D9%85%D8%B5%D8%AF%D8%B1%3A%20National%20Institute%20of% 20Statistics%20-%20Tunisia   2 https://shorturl.at/zzvPT   1 https://www.donneesmondiales.com/afrique/tunisie/inflation.php#google_vignette   8 globally in the Ease of Doing Business Index, reflecting persistent bureaucratic obstacles that  hinder investment and burden businesses.5  ●​ Social Resistance: The reforms faced strong opposition from various social groups.",85.0 %,imf-programs-in-tunisia,Alias,Gross Fixed Capital Formation,Investment,Gross Fixed Capital Formation,Gross Fixed Capital Formation,,,
Unemployment Rate,2023,3.0,%,100,"This  instability directly impacted foreign investment, which declined to $1.3 billion in 2023, down  8 https://fr.tradingeconomics.com/tunisia/external-debt   7  https://www.ins.tn/sites/default/files-ftp3/files/publication/pdf/Carte%20de%20la%20pauvret%C3%A9%20 en%20Tunisie_final_0.pdf   6https://www.tunisienumerique.com/ftdes-tunisie-baisse-du-nombre-des-mouvements-de-protestation/#go ogle_vignette%20https://www.espacemanager.com/ftdes-baisse-des-mouvements-de-protestation-en-202 3.html   5  https://openknowledge.worldbank.org/server/api/core/bitstreams/75ea67f9-4bcb-5766-ada6-6963a992d6 4c/content   9 from an annual average of $2.5 billion before 2011.9 The deterioration of economic  opportunities and high unemployment rates also drove young professionals to emigrate in  search of better job prospects abroad.",3.0 %,imf-programs-in-tunisia,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Unemployment Rate,2023,9.0,%,100,"This  instability directly impacted foreign investment, which declined to $1.3 billion in 2023, down  8 https://fr.tradingeconomics.com/tunisia/external-debt   7  https://www.ins.tn/sites/default/files-ftp3/files/publication/pdf/Carte%20de%20la%20pauvret%C3%A9%20 en%20Tunisie_final_0.pdf   6https://www.tunisienumerique.com/ftdes-tunisie-baisse-du-nombre-des-mouvements-de-protestation/#go ogle_vignette%20https://www.espacemanager.com/ftdes-baisse-des-mouvements-de-protestation-en-202 3.html   5  https://openknowledge.worldbank.org/server/api/core/bitstreams/75ea67f9-4bcb-5766-ada6-6963a992d6 4c/content   9 from an annual average of $2.5 billion before 2011.9 The deterioration of economic  opportunities and high unemployment rates also drove young professionals to emigrate in  search of better job prospects abroad.",9.0 %,imf-programs-in-tunisia,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
National Income,2023,3.0,%,100,"12  https://www.ins.tn/sites/default/files-ftp3/files/publication/pdf/Carte%20de%20la%20pauvret%C3%A9%20 en%20Tunisie_final_0.pdf   11  https://nawaat.org/2023/02/02/%D8%A7%D9%84%D8%AC%D8%A8%D8%A7%D9%8A%D8%A9-%D9 %81%D9%8A-%D9%85%D9%8A%D8%B2%D8%A7%D9%86%D9%8A%D8%A9-2023-%D9%86%D8% B8%D8%A7%D9%85-%D8%A3%D8%B9%D8%B1%D8%AC-%D9%81%D9%8A-%D8%A7%D9%84%D 8%B2%D9%85%D9%86/   10  https://documents1.worldbank.org/curated/en/099450111122440099/pdf/IDU14a597e6d12db7144c51bdb 61c083b0765c27.pdf   11 Figure: Tax Burden and Wealth Distribution ( High-income earners: 15% tax rate, Low-income earners: 30% tax rate, Poverty  rate: 3.1%, Wealth concentration: 10%, Indirect taxes: 60%  2.​ Value-Added Tax (VAT)  Value-added tax (VAT) has been one of Tunisia’s primary tools for increasing tax revenues, applied to  most goods and services at rates ranging from 7% to 19%.",3.0 %,imf-programs-in-tunisia,Alias,National Income,National Accounts,National Income,National Income,,,
National Income,2023,9.0,%,100,"12  https://www.ins.tn/sites/default/files-ftp3/files/publication/pdf/Carte%20de%20la%20pauvret%C3%A9%20 en%20Tunisie_final_0.pdf   11  https://nawaat.org/2023/02/02/%D8%A7%D9%84%D8%AC%D8%A8%D8%A7%D9%8A%D8%A9-%D9 %81%D9%8A-%D9%85%D9%8A%D8%B2%D8%A7%D9%86%D9%8A%D8%A9-2023-%D9%86%D8% B8%D8%A7%D9%85-%D8%A3%D8%B9%D8%B1%D8%AC-%D9%81%D9%8A-%D8%A7%D9%84%D 8%B2%D9%85%D9%86/   10  https://documents1.worldbank.org/curated/en/099450111122440099/pdf/IDU14a597e6d12db7144c51bdb 61c083b0765c27.pdf   11 Figure: Tax Burden and Wealth Distribution ( High-income earners: 15% tax rate, Low-income earners: 30% tax rate, Poverty  rate: 3.1%, Wealth concentration: 10%, Indirect taxes: 60%  2.​ Value-Added Tax (VAT)  Value-added tax (VAT) has been one of Tunisia’s primary tools for increasing tax revenues, applied to  most goods and services at rates ranging from 7% to 19%.",9.0 %,imf-programs-in-tunisia,Alias,National Income,National Accounts,National Income,National Income,,,
National Income,2023,8.0,%,100,"12  https://www.ins.tn/sites/default/files-ftp3/files/publication/pdf/Carte%20de%20la%20pauvret%C3%A9%20 en%20Tunisie_final_0.pdf   11  https://nawaat.org/2023/02/02/%D8%A7%D9%84%D8%AC%D8%A8%D8%A7%D9%8A%D8%A9-%D9 %81%D9%8A-%D9%85%D9%8A%D8%B2%D8%A7%D9%86%D9%8A%D8%A9-2023-%D9%86%D8% B8%D8%A7%D9%85-%D8%A3%D8%B9%D8%B1%D8%AC-%D9%81%D9%8A-%D8%A7%D9%84%D 8%B2%D9%85%D9%86/   10  https://documents1.worldbank.org/curated/en/099450111122440099/pdf/IDU14a597e6d12db7144c51bdb 61c083b0765c27.pdf   11 Figure: Tax Burden and Wealth Distribution ( High-income earners: 15% tax rate, Low-income earners: 30% tax rate, Poverty  rate: 3.1%, Wealth concentration: 10%, Indirect taxes: 60%  2.​ Value-Added Tax (VAT)  Value-added tax (VAT) has been one of Tunisia’s primary tools for increasing tax revenues, applied to  most goods and services at rates ranging from 7% to 19%.",8.0 %,imf-programs-in-tunisia,Alias,National Income,National Accounts,National Income,National Income,,,
Public Administration,2024,2023.0,,85,"According to the 2024 Finance Law projections, the Tunisian state budget allocated 11,337 million dinars  for subsidy expenditures in 2024, reflecting a slight decrease compared to 11,475 million dinars in 2023.","2,023",imf-programs-in-tunisia,Alias,Public Administration,Finance,Public Administration,Public Administration,,,
Unemployment Rate,2022,2.6,%,100,"In 2022, the economic growth rate was approximately 2.6%, which is far  below the levels needed to compensate for rising unemployment and achieve economic stability.",2.6 %,imf-programs-in-tunisia,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Public Administration,2023,15.3,%,100,"The unemployment rate remains high, reaching 15.3% in the second quarter of 2023, increasing pressure  on the government to provide economic and social solutions.",15.3 %,imf-programs-in-tunisia,Alias,Public Administration,Finance,Public Administration,Public Administration,,,
Public Administration,2023,7.7,%,100,"The budget deficit reached 7.7% of GDP in 2023, compelling the government to resort to borrowing.",7.7 %,imf-programs-in-tunisia,Alias,Public Administration,Finance,Public Administration,Public Administration,,,
Gross Domestic Product (gdp) At Market Prices,2023,79.0,%,100,"By the end of 2023, public  debt had reached 79% of GDP, compared to 72.3% in 2020.",79.0 %,imf-programs-in-tunisia,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Unemployment Rate,2022,8.0,%,100,21 https://fr.tradingeconomics.com/tunisia/unemployment-rate   20  https://www.almanber-ettounsi.com/2022/08/19/%d8%a8%d9%8a%d9%86-2011-%d9%882020-%d8%aa %d8%b1%d8%a7%d8%ac%d8%b9-%d8%a7%d9%84%d9%86%d9%85%d9%88-%d9%88%d8%a7%d9 %84%d8%a5%d8%b3%d8%aa%d8%ab%d9%85%d8%a7%d8%b1%d8%a7%d8%aa-%d9%88%d8%a7 %d9%84%d8%a5/,8.0 %,imf-programs-in-tunisia,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Unemployment Rate,2022,9.0,%,100,21 https://fr.tradingeconomics.com/tunisia/unemployment-rate   20  https://www.almanber-ettounsi.com/2022/08/19/%d8%a8%d9%8a%d9%86-2011-%d9%882020-%d8%aa %d8%b1%d8%a7%d8%ac%d8%b9-%d8%a7%d9%84%d9%86%d9%85%d9%88-%d9%88%d8%a7%d9 %84%d8%a5%d8%b3%d8%aa%d8%ab%d9%85%d8%a7%d8%b1%d8%a7%d8%aa-%d9%88%d8%a7 %d9%84%d8%a5/,9.0 %,imf-programs-in-tunisia,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Gross Domestic Product (gdp) At Market Prices,2023,16.0,%,100,"Additionally, the IMF has called for a reduction in the public sector wage bill, which accounted for 16% of  GDP in 2023, one of the highest rates in the world.",16.0 %,imf-programs-in-tunisia,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Public Administration,2023,79.0,%,100,"Meanwhile, the country struggles with a high fiscal  deficit, and public debt reached nearly 79% of GDP in 2023.22  22   Résultats provisoires de l'exécution du Budget à fin Juin 2024       20",79.0 %,imf-programs-in-tunisia,Alias,Public Administration,Finance,Public Administration,Public Administration,,,
Current Account Balance,2023,2023.22,,85,"Meanwhile, the country struggles with a high fiscal  deficit, and public debt reached nearly 79% of GDP in 2023.22  22   Résultats provisoires de l'exécution du Budget à fin Juin 2024       20","2,023",imf-programs-in-tunisia,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Public Debt (% Of Gdp),2025,88.0,%,100,"According to the Ministry of Finance’s estimates, public debt could reach 88% of GDP by 2025 if Tunisia  continues to over-rely on borrowing without implementing successful structural reforms.",88.0 %,imf-programs-in-tunisia,Alias,Public Debt (% Of Gdp),National Accounts,Public Debt (% Of Gdp),Public Debt (% Of Gdp),,,
Unemployment Rate,2023,15.3,%,100,"Unemployment remains high, reaching 15.3% in Q2 2023, while youth unemployment (ages 15-24)  exceeds 35%, leading to wasted potential and slower progress.",15.3 %,imf-programs-in-tunisia,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Unemployment Rate,2023,35.0,%,100,"Unemployment remains high, reaching 15.3% in Q2 2023, while youth unemployment (ages 15-24)  exceeds 35%, leading to wasted potential and slower progress.",35.0 %,imf-programs-in-tunisia,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Gross Domestic Product (gdp) At Market Prices,2019,8.9,%,100,"The  hydrocarbon and mining sector’s contribution to the country’s  GDP was 8.9% in 2019; that of the building materials sector  was 2.7%; and that of the chemical industries sector, which  included fertilizer manufacturing, was 1.7%.",8.9 %,myb3-2019-tunisia.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Merchandise Exports (current Usd),2020,5.5,%,100,"Mineral  fuels exports, which included crude petroleum, natural gas, and  refined petroleum products, accounted for 5.5% of the country’s  total exports, and phosphate rock and phosphate-related exports  accounted for 3.8% of the total exports (table 1; Central Bank of  Tunisia, 2020, p. 41, 43, 45, 48. 53, 63–64; National Institute of  Statistics, 2021, p. 275, 284).",5.5 %,myb3-2019-tunisia.pdf,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Merchandise Exports (current Usd),2020,3.8,%,100,"Mineral  fuels exports, which included crude petroleum, natural gas, and  refined petroleum products, accounted for 5.5% of the country’s  total exports, and phosphate rock and phosphate-related exports  accounted for 3.8% of the total exports (table 1; Central Bank of  Tunisia, 2020, p. 41, 43, 45, 48. 53, 63–64; National Institute of  Statistics, 2021, p. 275, 284).",3.8 %,myb3-2019-tunisia.pdf,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Merchandise Exports (current Usd),2020,2021.0,,85,"Mineral  fuels exports, which included crude petroleum, natural gas, and  refined petroleum products, accounted for 5.5% of the country’s  total exports, and phosphate rock and phosphate-related exports  accounted for 3.8% of the total exports (table 1; Central Bank of  Tunisia, 2020, p. 41, 43, 45, 48. 53, 63–64; National Institute of  Statistics, 2021, p. 275, 284).","2,021",myb3-2019-tunisia.pdf,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Merchandise Imports (current Usd),2019,2018.0,,85,Tunisia’s imports from the United States decreased to  $461 million in 2019 from $597 million in 2018.,"2,018",myb3-2019-tunisia.pdf,Alias,Merchandise Imports (current Usd),Trade,Merchandise Imports (current Usd),Merchandise Imports (current Usd),,,
Merchandise Exports (current Usd),2019,2018.0,,85,"Similarly, exports  of zinc ore and their concentrates amounted to 1,670 t in 2019  compared with zero in 2018 and 1,081 t in 2017.","2,018",myb3-2019-tunisia.pdf,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Gross Domestic Product (gdp) At Market Prices,2020,2.1,%,100,"The  hydrocarbon sector’s contribution to the GDP was 2.1% in 2020  compared with 2.7% in 2019; the mining sector, 0.4% in 2020  compared with 0.5% in 2019; the building materials sector,  4.0% in 2020 compared with 4.7% in 2019; and the chemical  industries (including fertilizer manufacturing), 1.0% in 2020  compared with 1.9% in 2019.",2.1 %,myb3-2020-21-tunisia.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Merchandise Exports (current Usd),2020,2021.0,,85,"The value of phosphate rock  and phosphate-based product exports decreased to $450 million  in 2020 from $595 million in 2019 owing to lower quantities  of phosphate exports (Central Bank of Tunisia, 2021, p. 79–80;  National Institute of Statistics, 2021, p. 44; 2022, p. 234).","2,021",myb3-2020-21-tunisia.pdf,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Merchandise Imports (current Usd),2020,2019.0,,85,Imports  to Tunisia from the United States decreased to $429 million  in 2020 from $461 million in 2019.,"2,019",myb3-2020-21-tunisia.pdf,Alias,Merchandise Imports (current Usd),Trade,Merchandise Imports (current Usd),Merchandise Imports (current Usd),,,
Merchandise Exports (current Usd),2020,2019.0,,85,The value of exports to the United States from Tunisia  increased to $568 million in 2020 from $469 million in 2019.,"2,019",myb3-2020-21-tunisia.pdf,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Merchandise Imports (current Usd),2021,2022.0,,85,"Tunisia received imports mainly from (in descending order of the  total value of imports) Italy, France, China, Germany, Turkey,  Spain, Algeria, the United States, and Russia (National Institute of  Statistics, 2021, p. 46–47; 2022, p. 237).","2,022",myb3-2020-21-tunisia.pdf,Alias,Merchandise Imports (current Usd),Trade,Merchandise Imports (current Usd),Merchandise Imports (current Usd),,,
Unemployment Rate,2010,10.7,%,100,"In addition, the increase in public sector hiring  and salaries in response to high unemployment and social tensions has led to a sharp rise of  the public wage bill from 10.7 percent of GDP in 2010 to 14.7 percent of GDP in 2017, which  now represents more than 60 percent of tax revenues.",10.7 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
